carName,model,year,sellingPrice,condition,mileage,driven,fuel
Maruti Suzuki Swift,Titanium,2018,139172,Needs Work,19.09,150718,CNG
Mahindra Scorpio,ZX,2015,1700000,Excellent,14.18,182566,CNG
Ford Ecosport,EX,2018,1150042,Fair,11.53,52941,Petrol
Mahindra Scorpio,S10,2013,633596,Fair,21.8,196382,Petrol
Mahindra Scorpio,Titanium,2020,1620398,Good,18.31,182551,Petrol
Mahindra Scorpio,HTX,2010,1774620,Fair,15.04,153486,CNG
Kia Seltos,Titanium,2021,1047118,Good,16.29,49872,Petrol
Maruti Suzuki Swift,VDI,2009,1676733,Fair,12.11,43515,Electric
Maruti Suzuki Swift,XZ+,2010,1900560,Excellent,10.23,170694,Electric
Hyundai Creta,XZ+,2022,1849238,Good,22.04,140405,CNG
Mahindra Scorpio,HTX,2005,645005,Fair,12.77,33433,Electric
Toyota Innova,S10,2014,1175732,Good,12.51,83025,CNG
Toyota Innova,HTX,2006,622927,Fair,12.85,65426,Diesel
Mahindra Scorpio,Crysta,2022,1821032,Needs Work,10.16,161392,CNG
Mahindra Scorpio,VDI,2016,1542273,Excellent,14.95,74545,Diesel
Hyundai Creta,ZX,2019,516147,Needs Work,17.53,166882,Electric
Toyota Innova,HTX,2021,1681906,Good,11.07,141143,Petrol
Hyundai Creta,EX,2011,1162968,Good,21.69,184422,Petrol
Ford Ecosport,S10,2019,479011,Needs Work,15.59,8856,Petrol
Mahindra Scorpio,VDI,2016,651243,Needs Work,13.6,42648,Petrol
Hyundai Creta,XZ+,2012,1637775,Good,11.5,139327,Electric
Toyota Innova,S10,2012,175176,Excellent,19.16,20617,Petrol
Ford Ecosport,S10,2012,508386,Fair,12.54,119112,Electric
Hyundai Creta,EX,2007,1141669,Needs Work,13.26,68287,Electric
Mahindra Scorpio,HTX,2018,1398968,Fair,21.19,54917,Diesel
Maruti Suzuki Swift,HTX,2023,459211,Good,20.36,101834,CNG
Mahindra Scorpio,EX,2015,639544,Fair,17.94,49849,Petrol
Maruti Suzuki Swift,Crysta,2013,1717899,Fair,18.22,156976,Electric
Tata Nexon,Crysta,2016,104345,Fair,19.07,49302,CNG
Kia Seltos,S10,2013,284298,Fair,11.14,157254,Electric
Mahindra Scorpio,Crysta,2011,527728,Good,21.9,122500,Petrol
Hyundai Creta,ZX,2011,1539812,Good,18.18,115937,CNG
Toyota Innova,XZ+,2022,866411,Fair,23.55,98742,CNG
Ford Ecosport,EX,2021,170872,Needs Work,11.88,4024,Diesel
Hyundai Creta,Crysta,2009,929885,Fair,11.08,145481,Petrol
Mahindra Scorpio,HTX,2017,1285153,Excellent,15.87,158013,CNG
Ford Ecosport,XZ+,2016,1082478,Fair,11.82,55511,Diesel
Hyundai Creta,EX,2008,768102,Good,21.07,67699,Diesel
Hyundai Creta,ZX,2015,387150,Good,14.1,99605,Petrol
Maruti Suzuki Swift,VDI,2020,246828,Fair,19.24,144636,Diesel
Mahindra Scorpio,S10,2013,1277143,Fair,20.31,193211,Electric
Toyota Innova,S10,2008,1919459,Fair,13.28,188309,Diesel
Toyota Innova,ZX,2007,738061,Good,18.07,101430,Petrol
Kia Seltos,Crysta,2017,659598,Fair,20.76,172108,Petrol
Ford Ecosport,S10,2006,1249769,Excellent,20.92,24597,Petrol
Maruti Suzuki Swift,S10,2022,835119,Needs Work,14.75,196518,Diesel
Maruti Suzuki Swift,Crysta,2005,848191,Good,19.36,110822,Petrol
Mahindra Scorpio,VDI,2022,526510,Good,19.78,62731,Petrol
Honda City,EX,2010,533939,Good,15.12,72728,Petrol
Maruti Suzuki Swift,Titanium,2012,524744,Good,13.17,90988,Petrol
Toyota Innova,HTX,2020,1756671,Fair,22.34,90692,CNG
Ford Ecosport,S10,2006,357338,Good,12.83,114410,Electric
Ford Ecosport,XZ+,2019,1557399,Good,15.58,140902,Diesel
Maruti Suzuki Swift,EX,2019,1475917,Excellent,11.97,78387,Diesel
Toyota Innova,S10,2006,1774253,Excellent,10.33,14455,Petrol
Ford Ecosport,S10,2012,892052,Excellent,12.81,150461,Electric
Kia Seltos,XZ+,2016,990016,Needs Work,19.18,161933,Petrol
Toyota Innova,VDI,2011,1232580,Good,17.99,3796,Diesel
Toyota Innova,XZ+,2021,1870625,Needs Work,19.55,49310,Diesel
Mahindra Scorpio,ZX,2020,1786692,Fair,24.28,123786,Diesel
Kia Seltos,Crysta,2009,661302,Needs Work,13.14,135290,Petrol
Toyota Innova,Titanium,2012,481896,Needs Work,15.63,195686,CNG
Hyundai Creta,ZX,2006,202274,Good,23.26,98400,Diesel
Toyota Innova,EX,2013,1238427,Fair,23.09,51632,Electric
Ford Ecosport,Titanium,2013,1461336,Needs Work,16.93,151886,Petrol
Toyota Innova,VDI,2023,551062,Fair,13.26,74265,CNG
Mahindra Scorpio,XZ+,2021,1202510,Needs Work,24.4,129997,Petrol
Kia Seltos,Titanium,2019,916234,Fair,15.46,39189,Electric
Hyundai Creta,EX,2010,672469,Needs Work,20.23,33582,CNG
Kia Seltos,ZX,2022,794420,Fair,14.72,94004,CNG
Ford Ecosport,EX,2019,230353,Needs Work,22.98,157884,CNG
Toyota Innova,XZ+,2009,847457,Needs Work,20.01,193371,Diesel
Toyota Innova,ZX,2007,648082,Good,18.34,27237,CNG
Kia Seltos,Crysta,2018,894274,Excellent,20.38,174439,Electric
Maruti Suzuki Swift,XZ+,2013,1953923,Fair,11.01,8039,Diesel
Tata Nexon,Titanium,2015,1796344,Needs Work,12.1,135907,Petrol
Honda City,ZX,2010,1077420,Fair,18.66,196451,CNG
Kia Seltos,VDI,2023,1722981,Fair,10.07,164911,Electric
Mahindra Scorpio,Crysta,2008,580595,Excellent,17.47,128755,CNG
Kia Seltos,Crysta,2008,1863373,Good,10.07,150202,Electric
Mahindra Scorpio,Titanium,2013,254310,Fair,19.82,148629,Diesel
Maruti Suzuki Swift,XZ+,2010,366687,Needs Work,12.39,65040,Petrol
Honda City,S10,2022,1639668,Excellent,20.25,129814,Diesel
Mahindra Scorpio,Titanium,2011,155023,Good,11.18,132468,CNG
Ford Ecosport,XZ+,2020,725817,Fair,13.74,18657,Petrol
Hyundai Creta,EX,2012,1581230,Needs Work,16.04,83475,Diesel
Toyota Innova,VDI,2021,943007,Needs Work,23.89,104153,CNG
Kia Seltos,VDI,2020,1010558,Needs Work,22.42,160858,Petrol
Toyota Innova,ZX,2009,559388,Excellent,22.04,58385,CNG
Tata Nexon,VDI,2019,1282706,Excellent,22.65,33184,CNG
Hyundai Creta,VDI,2019,1178682,Fair,24.79,45400,CNG
Toyota Innova,Titanium,2022,1954213,Needs Work,18.85,74843,Diesel
Toyota Innova,S10,2012,1520824,Excellent,14.6,174381,CNG
Honda City,Titanium,2005,1966208,Good,18.78,134141,CNG
Hyundai Creta,Crysta,2005,1408587,Good,14.8,75789,Petrol
Maruti Suzuki Swift,ZX,2020,1175023,Fair,18.55,171285,Petrol
Hyundai Creta,ZX,2007,420626,Good,16.92,140231,CNG
Honda City,XZ+,2017,1882196,Needs Work,12.98,136037,Electric
Mahindra Scorpio,VDI,2020,1415374,Needs Work,18.55,6980,Diesel
Hyundai Creta,XZ+,2022,1437395,Needs Work,19.02,148427,Electric
Honda City,ZX,2014,706857,Good,21.74,13736,Diesel
Maruti Suzuki Swift,Crysta,2011,667892,Needs Work,10.68,187240,Diesel
Tata Nexon,EX,2022,1769925,Needs Work,16.67,137491,Electric
Kia Seltos,VDI,2019,1137722,Good,21.88,186558,CNG
Maruti Suzuki Swift,XZ+,2006,500034,Fair,17.04,140229,Electric
Tata Nexon,EX,2008,1324976,Excellent,13.38,36535,Electric
Tata Nexon,VDI,2022,773379,Fair,24.38,39472,Petrol
Tata Nexon,S10,2018,237146,Good,13.36,124730,Diesel
Tata Nexon,VDI,2005,1567895,Needs Work,21.31,13821,Diesel
Toyota Innova,ZX,2015,616260,Excellent,24.11,95008,Petrol
Tata Nexon,S10,2016,383430,Good,17.05,117063,CNG
Mahindra Scorpio,EX,2012,934529,Excellent,10.85,57861,Electric
Kia Seltos,Crysta,2012,1670119,Good,10.92,115620,Diesel
Ford Ecosport,EX,2023,1209317,Needs Work,12.79,139167,Petrol
Honda City,Crysta,2022,130608,Fair,18.23,72414,Petrol
Ford Ecosport,S10,2005,1979565,Excellent,17.62,183783,CNG
Ford Ecosport,Crysta,2007,861575,Needs Work,17.98,63819,CNG
Toyota Innova,Titanium,2021,1655344,Fair,11.2,169787,Electric
Maruti Suzuki Swift,EX,2014,1421038,Fair,13.72,186968,CNG
Hyundai Creta,HTX,2023,1988301,Excellent,16.16,96529,Diesel
Ford Ecosport,Crysta,2012,473110,Excellent,10.37,145510,Electric
Mahindra Scorpio,Crysta,2015,479375,Fair,20.22,165315,CNG
Toyota Innova,Titanium,2017,703352,Excellent,12.87,84461,Electric
Toyota Innova,ZX,2021,1014094,Fair,15.17,136495,Electric
Toyota Innova,VDI,2006,501261,Fair,17.64,100801,CNG
Mahindra Scorpio,EX,2023,927136,Needs Work,16.2,198296,Petrol
Maruti Suzuki Swift,Titanium,2007,1673992,Excellent,23.27,52545,Diesel
Mahindra Scorpio,HTX,2010,890279,Fair,20.29,195611,Petrol
Toyota Innova,HTX,2017,1783739,Needs Work,18.16,47253,Petrol
Toyota Innova,EX,2021,955616,Needs Work,24.05,86431,Petrol
Hyundai Creta,HTX,2015,279332,Needs Work,21.67,199192,Diesel
Toyota Innova,VDI,2016,222906,Good,12.0,77354,Electric
Kia Seltos,Titanium,2014,692113,Excellent,11.65,37252,CNG
Kia Seltos,VDI,2018,1504413,Excellent,24.47,149617,CNG
Honda City,S10,2019,1529154,Fair,13.43,51656,Petrol
Honda City,HTX,2022,287799,Fair,13.23,179471,CNG
Mahindra Scorpio,S10,2011,260885,Needs Work,13.72,107320,Electric
Mahindra Scorpio,XZ+,2012,1701164,Excellent,22.28,78807,Petrol
Honda City,S10,2008,427452,Fair,11.14,96351,CNG
Maruti Suzuki Swift,S10,2022,1081928,Good,21.39,155131,CNG
Ford Ecosport,Crysta,2009,397596,Needs Work,11.89,60411,Diesel
Toyota Innova,XZ+,2007,1190862,Good,10.17,102974,Petrol
Mahindra Scorpio,HTX,2009,1132955,Good,16.47,136765,Diesel
Hyundai Creta,Titanium,2023,1991908,Good,15.5,119522,Diesel
Mahindra Scorpio,HTX,2005,637017,Needs Work,12.48,54680,Electric
Ford Ecosport,XZ+,2018,452840,Good,15.52,167292,Petrol
Kia Seltos,Crysta,2011,499762,Good,11.28,174907,Electric
Kia Seltos,ZX,2014,484696,Good,23.88,78903,Electric
Tata Nexon,HTX,2023,1586437,Excellent,14.16,134855,Diesel
Kia Seltos,XZ+,2007,369661,Fair,11.23,121065,CNG
Ford Ecosport,S10,2018,453704,Needs Work,23.82,68071,Electric
Mahindra Scorpio,EX,2006,782842,Fair,20.77,65957,Diesel
Ford Ecosport,EX,2021,1807969,Fair,12.44,122813,Electric
Tata Nexon,XZ+,2005,1694375,Good,18.49,19361,Electric
Mahindra Scorpio,S10,2015,883415,Fair,15.23,73688,Petrol
Maruti Suzuki Swift,ZX,2018,554392,Needs Work,15.15,194418,Diesel
Ford Ecosport,XZ+,2005,1784960,Good,22.45,143658,CNG
Honda City,HTX,2015,1958429,Fair,24.24,31432,Diesel
Kia Seltos,XZ+,2011,1186673,Good,13.3,36951,Electric
Ford Ecosport,Crysta,2008,1279844,Good,19.47,141584,Electric
Kia Seltos,HTX,2015,909448,Excellent,13.25,64501,Electric
Ford Ecosport,XZ+,2011,1730234,Excellent,19.34,128125,CNG
Tata Nexon,XZ+,2023,718790,Excellent,10.03,148184,Electric
Hyundai Creta,Crysta,2017,683328,Needs Work,13.2,39960,Electric
Honda City,S10,2012,1285790,Needs Work,21.89,27429,CNG
Kia Seltos,VDI,2021,481709,Needs Work,18.52,104962,Diesel
Maruti Suzuki Swift,ZX,2019,1543432,Excellent,13.0,7357,Petrol
Kia Seltos,HTX,2019,1408266,Needs Work,18.46,39534,Petrol
Hyundai Creta,Titanium,2006,694137,Good,23.18,169002,CNG
Toyota Innova,XZ+,2011,1358915,Fair,17.44,119557,Electric
Kia Seltos,HTX,2012,206401,Good,16.94,167823,Petrol
Tata Nexon,EX,2011,252821,Needs Work,11.73,18976,Electric
Ford Ecosport,Crysta,2013,1084246,Fair,13.01,33013,Petrol
Tata Nexon,S10,2007,1495803,Needs Work,15.78,59603,Diesel
Honda City,VDI,2017,230827,Good,16.93,35270,Petrol
Tata Nexon,ZX,2018,996423,Excellent,11.24,124429,Petrol
Mahindra Scorpio,EX,2022,416544,Excellent,24.91,174313,Diesel
Honda City,HTX,2005,610422,Excellent,20.8,139787,Electric
Tata Nexon,ZX,2010,1665318,Excellent,13.84,197112,Diesel
Hyundai Creta,EX,2014,1623580,Fair,21.72,96364,CNG
Mahindra Scorpio,ZX,2016,1754965,Fair,21.46,135718,Electric
Kia Seltos,XZ+,2008,120812,Fair,20.62,167869,Diesel
Kia Seltos,Crysta,2016,470387,Fair,10.24,105022,Petrol
Toyota Innova,XZ+,2010,1291834,Fair,21.23,142584,Diesel
Tata Nexon,VDI,2008,1510106,Needs Work,12.89,131108,CNG
Kia Seltos,XZ+,2012,1170952,Needs Work,16.6,174134,Diesel
Kia Seltos,ZX,2023,490571,Fair,21.92,176875,Diesel
Toyota Innova,ZX,2015,1773712,Fair,12.7,58729,Electric
Hyundai Creta,EX,2009,1383858,Fair,11.18,7754,Electric
Honda City,EX,2006,1391134,Fair,23.58,29117,Diesel
Hyundai Creta,EX,2005,1125785,Needs Work,24.44,180159,CNG
Honda City,S10,2021,141325,Excellent,11.77,15219,CNG
Hyundai Creta,VDI,2006,307454,Fair,17.9,25579,Petrol
Mahindra Scorpio,HTX,2015,1896944,Excellent,18.66,140917,Electric
Toyota Innova,ZX,2008,1919976,Good,15.25,126163,Electric
Mahindra Scorpio,EX,2011,1720320,Excellent,11.81,55532,Petrol
Kia Seltos,HTX,2016,1692982,Excellent,10.8,127221,Electric
Maruti Suzuki Swift,ZX,2012,575706,Excellent,14.74,66202,Diesel
Tata Nexon,Crysta,2020,1642633,Fair,13.12,100038,Electric
Maruti Suzuki Swift,XZ+,2018,421056,Needs Work,12.72,147307,Diesel
Ford Ecosport,Titanium,2021,746935,Excellent,24.65,17506,Electric
Kia Seltos,EX,2020,1790377,Excellent,15.47,31831,CNG
Mahindra Scorpio,XZ+,2017,1822215,Fair,22.07,109686,Electric
Toyota Innova,EX,2008,1261173,Needs Work,11.76,129028,Electric
Kia Seltos,S10,2010,1313647,Excellent,18.25,116096,Diesel
Maruti Suzuki Swift,Crysta,2023,1506692,Fair,15.0,93239,Electric
Mahindra Scorpio,Crysta,2021,833339,Excellent,17.09,152499,Electric
Mahindra Scorpio,EX,2015,477308,Fair,12.89,99076,Petrol
Honda City,HTX,2019,1512369,Needs Work,10.53,52982,CNG
Hyundai Creta,HTX,2018,936525,Fair,17.22,180716,Electric
Tata Nexon,ZX,2005,528888,Needs Work,10.49,23877,Petrol
Mahindra Scorpio,EX,2006,1511072,Fair,23.77,129359,Electric
Kia Seltos,XZ+,2022,1077461,Excellent,16.56,25342,Electric
Mahindra Scorpio,ZX,2018,517488,Needs Work,22.73,143673,Diesel
Mahindra Scorpio,Crysta,2019,904400,Fair,22.74,117261,Diesel
Tata Nexon,HTX,2006,1481666,Fair,11.74,192426,CNG
Ford Ecosport,EX,2008,1910348,Fair,22.8,24241,Electric
Tata Nexon,VDI,2019,1310311,Excellent,14.45,6755,Petrol
Tata Nexon,EX,2006,485577,Excellent,12.84,79001,Petrol
Mahindra Scorpio,ZX,2020,1274885,Excellent,12.08,79965,CNG
Maruti Suzuki Swift,ZX,2021,616395,Needs Work,21.3,106557,CNG
Mahindra Scorpio,S10,2017,897155,Good,11.06,112500,Diesel
Mahindra Scorpio,VDI,2014,1660622,Excellent,24.78,74556,Electric
Hyundai Creta,Crysta,2013,151640,Good,12.3,23896,Petrol
Kia Seltos,VDI,2013,295230,Excellent,17.18,187746,Electric
Maruti Suzuki Swift,Titanium,2013,1025185,Excellent,24.09,126654,Petrol
Honda City,S10,2016,1550202,Good,18.75,43934,Petrol
Mahindra Scorpio,XZ+,2017,836889,Good,18.12,29203,Petrol
Tata Nexon,Titanium,2007,841950,Needs Work,18.84,32947,Petrol
Hyundai Creta,VDI,2023,1894496,Needs Work,10.25,8108,Diesel
Maruti Suzuki Swift,S10,2021,712780,Good,19.54,150032,Diesel
Maruti Suzuki Swift,ZX,2017,572850,Needs Work,19.96,178497,Diesel
Tata Nexon,EX,2018,1529529,Fair,15.24,61984,CNG
Honda City,HTX,2023,814106,Fair,21.44,66385,Petrol
Toyota Innova,VDI,2006,636740,Needs Work,10.47,86386,Petrol
Mahindra Scorpio,XZ+,2006,1936094,Fair,18.36,130253,Petrol
Mahindra Scorpio,S10,2013,1266485,Fair,16.86,39826,Petrol
Hyundai Creta,XZ+,2019,633062,Fair,16.17,41809,Electric
Maruti Suzuki Swift,Titanium,2012,856486,Good,11.53,141563,Petrol
Mahindra Scorpio,Titanium,2008,127603,Needs Work,18.75,173647,Electric
Toyota Innova,XZ+,2021,1421411,Excellent,13.33,101390,Diesel
Ford Ecosport,S10,2016,662148,Excellent,10.83,8457,CNG
Mahindra Scorpio,Titanium,2010,1658751,Excellent,18.28,120300,CNG
Ford Ecosport,Crysta,2022,1987047,Excellent,16.87,81827,Petrol
Toyota Innova,EX,2016,522992,Fair,24.26,168927,Diesel
Maruti Suzuki Swift,EX,2009,405888,Good,19.65,197499,Petrol
Ford Ecosport,HTX,2006,437415,Fair,24.01,60919,Diesel
Toyota Innova,Crysta,2014,707867,Excellent,10.62,158249,Diesel
Maruti Suzuki Swift,Crysta,2010,1556193,Good,23.22,85921,CNG
Maruti Suzuki Swift,XZ+,2008,1036234,Good,23.84,81162,Petrol
Hyundai Creta,EX,2012,1037830,Good,10.88,9584,Petrol
Tata Nexon,EX,2016,1829488,Good,18.13,63193,Electric
Toyota Innova,XZ+,2020,719744,Fair,14.15,19558,Petrol
Hyundai Creta,ZX,2019,1551644,Good,11.84,17588,Diesel
Ford Ecosport,S10,2019,1141617,Needs Work,13.58,142870,CNG
Tata Nexon,XZ+,2014,644385,Good,24.53,154438,Diesel
Kia Seltos,ZX,2015,1783948,Needs Work,12.93,156244,CNG
Hyundai Creta,XZ+,2022,1684336,Excellent,12.95,103692,Petrol
Maruti Suzuki Swift,S10,2013,1670146,Fair,18.8,174838,CNG
Hyundai Creta,XZ+,2019,1263417,Good,12.21,111983,Electric
Hyundai Creta,Crysta,2019,1786985,Fair,13.34,55616,CNG
Maruti Suzuki Swift,Titanium,2022,983545,Fair,20.64,92170,Diesel
Honda City,VDI,2016,1073194,Excellent,12.82,40589,Diesel
Honda City,EX,2008,1597604,Excellent,12.26,111249,Diesel
Honda City,Titanium,2017,121217,Good,15.41,148725,Petrol
Kia Seltos,XZ+,2014,1871539,Fair,17.49,141557,Petrol
Toyota Innova,HTX,2023,1311473,Fair,16.95,22805,Petrol
Hyundai Creta,ZX,2008,1765445,Fair,19.27,119899,CNG
Honda City,Titanium,2021,1756393,Excellent,13.45,162570,Diesel
Maruti Suzuki Swift,S10,2021,232215,Fair,24.68,4908,Petrol
Maruti Suzuki Swift,EX,2006,676324,Needs Work,20.74,126457,Electric
Mahindra Scorpio,ZX,2015,1818471,Needs Work,16.06,1027,CNG
Kia Seltos,ZX,2013,1769652,Fair,21.52,171740,Electric
Honda City,ZX,2019,1913793,Good,23.04,3080,CNG
Ford Ecosport,XZ+,2018,159187,Good,15.8,82981,CNG
Tata Nexon,XZ+,2009,1997103,Needs Work,19.67,76121,Diesel
Honda City,XZ+,2016,229885,Fair,24.96,195127,Diesel
Toyota Innova,S10,2021,1772647,Good,17.95,131865,CNG
Ford Ecosport,XZ+,2009,690599,Excellent,24.98,181431,Petrol
Toyota Innova,VDI,2022,1419481,Excellent,11.7,85544,Electric
Mahindra Scorpio,Titanium,2016,961563,Excellent,22.92,38805,Petrol
Kia Seltos,HTX,2017,1061737,Good,11.98,187111,Petrol
Honda City,S10,2005,352352,Excellent,18.19,130733,CNG
Toyota Innova,S10,2016,1485291,Good,21.42,88651,Petrol
Ford Ecosport,EX,2020,1518275,Fair,12.14,62768,Diesel
Ford Ecosport,VDI,2011,949136,Excellent,17.55,23752,CNG
Tata Nexon,Titanium,2015,668859,Needs Work,23.01,101472,Electric
Toyota Innova,VDI,2014,1561020,Good,17.1,85500,Electric
Tata Nexon,ZX,2013,994610,Good,13.94,35237,Electric
Ford Ecosport,HTX,2013,299060,Good,23.03,111450,Petrol
Kia Seltos,HTX,2011,204769,Good,22.48,181674,CNG
Ford Ecosport,HTX,2017,763792,Fair,16.91,127556,Diesel
Maruti Suzuki Swift,ZX,2016,879471,Good,15.66,20380,Petrol
Kia Seltos,VDI,2023,910469,Fair,24.68,34487,CNG
Kia Seltos,VDI,2022,1635243,Needs Work,22.35,140786,Diesel
Tata Nexon,XZ+,2016,1275422,Excellent,10.58,36257,Petrol
Toyota Innova,S10,2011,439305,Fair,24.19,20019,CNG
Hyundai Creta,S10,2012,1672500,Fair,24.06,172403,Diesel
Tata Nexon,S10,2017,513248,Fair,11.91,199516,Petrol
Ford Ecosport,S10,2011,493292,Excellent,10.83,131340,CNG
Mahindra Scorpio,VDI,2008,638390,Good,19.57,179764,Electric
Tata Nexon,HTX,2008,281109,Good,13.37,193643,Diesel
Maruti Suzuki Swift,S10,2019,1779604,Excellent,14.99,172495,Diesel
Hyundai Creta,XZ+,2010,1753461,Needs Work,10.48,73100,Petrol
Maruti Suzuki Swift,Crysta,2021,276164,Good,24.46,163211,Diesel
Kia Seltos,Crysta,2009,792099,Needs Work,18.7,135730,Electric
Toyota Innova,ZX,2016,601089,Fair,23.84,5139,Diesel
Honda City,EX,2011,1855041,Good,15.64,172398,Electric
Hyundai Creta,EX,2023,391428,Needs Work,23.98,7272,CNG
Ford Ecosport,ZX,2007,714313,Good,22.21,111339,Electric
Mahindra Scorpio,EX,2017,652806,Good,20.2,153298,CNG
Ford Ecosport,S10,2020,1585214,Needs Work,20.07,94797,Diesel
Kia Seltos,Titanium,2013,1870101,Excellent,22.61,147117,Diesel
Kia Seltos,XZ+,2020,791384,Excellent,11.14,171007,CNG
Hyundai Creta,Crysta,2020,410102,Good,20.7,35262,Diesel
Tata Nexon,S10,2021,371754,Excellent,20.58,191760,CNG
Kia Seltos,Crysta,2016,1179442,Fair,23.62,69226,Electric
Tata Nexon,EX,2018,1092828,Excellent,23.94,82102,CNG
Ford Ecosport,VDI,2021,1498952,Excellent,19.46,181229,Diesel
Tata Nexon,HTX,2008,1190195,Needs Work,11.69,27934,CNG
Mahindra Scorpio,VDI,2015,1259707,Excellent,21.32,51511,Electric
Toyota Innova,Crysta,2017,1272805,Excellent,16.16,59800,CNG
Maruti Suzuki Swift,ZX,2013,1440890,Fair,12.66,170497,Petrol
Ford Ecosport,EX,2016,1588619,Excellent,22.58,141749,Diesel
Kia Seltos,EX,2013,1132785,Needs Work,14.11,2803,CNG
Hyundai Creta,XZ+,2021,1212315,Excellent,16.08,46662,Petrol
Kia Seltos,HTX,2005,1723928,Needs Work,17.84,176965,Diesel
Ford Ecosport,EX,2022,175071,Excellent,12.25,86499,Petrol
Honda City,S10,2017,236727,Excellent,11.04,5323,CNG
Toyota Innova,XZ+,2008,1305677,Fair,10.6,189797,Petrol
Mahindra Scorpio,HTX,2007,804060,Needs Work,22.44,172199,Diesel
Tata Nexon,XZ+,2008,1407887,Excellent,19.71,75498,Petrol
Toyota Innova,S10,2019,445204,Excellent,10.94,12811,Petrol
Maruti Suzuki Swift,VDI,2014,1605422,Fair,21.17,12365,Electric
Toyota Innova,VDI,2013,1832567,Fair,13.3,58569,Diesel
Mahindra Scorpio,VDI,2022,1248902,Good,11.64,2257,Electric
Kia Seltos,Crysta,2016,943405,Needs Work,10.01,38097,Petrol
Mahindra Scorpio,ZX,2014,752911,Fair,12.3,171270,Electric
Hyundai Creta,Crysta,2018,1489192,Excellent,11.26,143638,Petrol
Toyota Innova,HTX,2016,856921,Excellent,13.74,125864,Petrol
Tata Nexon,Titanium,2011,1685662,Excellent,20.52,51593,Petrol
Kia Seltos,Crysta,2018,1488690,Needs Work,19.72,125115,Electric
Mahindra Scorpio,EX,2018,474005,Excellent,14.15,168272,Electric
Maruti Suzuki Swift,EX,2010,498747,Fair,22.09,180314,Petrol
Mahindra Scorpio,HTX,2019,444240,Needs Work,16.25,154472,Diesel
Toyota Innova,EX,2008,976592,Fair,18.22,124371,CNG
Maruti Suzuki Swift,XZ+,2007,1195902,Fair,16.65,102323,Diesel
Maruti Suzuki Swift,S10,2005,1571009,Fair,14.65,22252,Electric
Toyota Innova,S10,2017,1752775,Excellent,15.36,145166,CNG
Hyundai Creta,S10,2021,544081,Needs Work,18.68,42247,Diesel
Maruti Suzuki Swift,Titanium,2016,224356,Needs Work,15.04,160339,CNG
Tata Nexon,ZX,2010,1237121,Needs Work,22.56,161260,Petrol
Kia Seltos,S10,2011,469657,Excellent,18.32,138732,Electric
Ford Ecosport,HTX,2014,1114414,Excellent,23.22,148319,CNG
Tata Nexon,S10,2005,1730892,Good,13.12,81446,Electric
Kia Seltos,HTX,2016,1351126,Excellent,15.84,36559,Petrol
Hyundai Creta,ZX,2008,1643631,Good,20.89,43402,Electric
Hyundai Creta,Crysta,2007,192548,Fair,10.69,154384,Petrol
Ford Ecosport,EX,2020,1616896,Good,16.81,169986,Electric
Mahindra Scorpio,Crysta,2019,870322,Excellent,19.57,1286,Diesel
Kia Seltos,Crysta,2013,1597418,Excellent,14.78,142310,Electric
Toyota Innova,Titanium,2010,1124365,Good,21.47,136433,Petrol
Mahindra Scorpio,Titanium,2018,1499124,Good,13.17,120373,Petrol
Mahindra Scorpio,Titanium,2008,780532,Needs Work,18.06,139231,CNG
Maruti Suzuki Swift,S10,2016,1973157,Good,15.67,10763,Petrol
Hyundai Creta,XZ+,2015,1514388,Needs Work,21.7,196787,Diesel
Honda City,HTX,2009,1361161,Fair,20.9,138427,Diesel
Hyundai Creta,EX,2023,283291,Fair,23.39,138678,Electric
Ford Ecosport,EX,2015,424977,Good,17.27,95986,Petrol
Toyota Innova,S10,2020,645914,Fair,20.1,53874,Petrol
Hyundai Creta,HTX,2011,1860007,Fair,11.17,11197,CNG
Ford Ecosport,VDI,2017,1068284,Needs Work,17.77,14645,Diesel
Hyundai Creta,ZX,2008,1193456,Excellent,23.08,128653,Petrol
Mahindra Scorpio,VDI,2013,526189,Needs Work,24.24,193851,Diesel
Kia Seltos,XZ+,2007,109832,Fair,19.26,82281,Petrol
Honda City,Crysta,2022,547360,Fair,17.17,83428,Petrol
Hyundai Creta,Titanium,2006,342736,Good,24.78,172043,Petrol
Honda City,VDI,2013,820075,Fair,10.42,48601,Diesel
Hyundai Creta,HTX,2018,355193,Needs Work,21.7,157202,Diesel
Mahindra Scorpio,ZX,2012,1580968,Fair,17.74,86109,Electric
Mahindra Scorpio,XZ+,2007,239739,Needs Work,20.41,112710,Electric
Kia Seltos,HTX,2011,609719,Excellent,21.34,49565,Electric
Mahindra Scorpio,ZX,2012,1222416,Excellent,18.48,8673,Diesel
Tata Nexon,EX,2010,130646,Fair,21.99,25792,Electric
Maruti Suzuki Swift,XZ+,2005,255725,Fair,22.93,99094,Electric
Mahindra Scorpio,Titanium,2023,221336,Good,14.47,195134,CNG
Mahindra Scorpio,Crysta,2016,152533,Needs Work,20.97,58082,Electric
Tata Nexon,HTX,2023,1898590,Good,22.35,93371,Electric
Hyundai Creta,HTX,2015,364984,Fair,22.44,91476,Electric
Honda City,XZ+,2020,173887,Excellent,15.1,51793,CNG
Maruti Suzuki Swift,VDI,2020,302488,Needs Work,11.05,3506,Diesel
